JobName,ReqMem,ReqCPUs,ReqGPUs,ReqDuration,ActualDuration,Submit
job91668,4000000,1,0,72000,51423,1611517090
job91669,4000000,1,0,72000,3828,1611517090
job91670,4000000,1,0,72000,3627,1611517090
job91671,4000000,1,0,72000,2741,1611517090
job91672,4000000,1,0,72000,3462,1611517090
job91673,4000000,1,0,72000,3032,1611517090
job91674,4000000,1,0,72000,4247,1611517090
job91675,4000000,1,0,72000,23017,1611517090
job91676,4000000,1,0,72000,4977,1611517090
job91677,4000000,1,0,72000,4337,1611517090
job91678,4000000,1,0,72000,4337,1611517090
job91679,4000000,1,0,72000,4337,1611517090
job91680,4000000,1,0,72000,4152,1611517090
job91681,4000000,1,0,72000,52865,1611517090
job91682,4000000,1,0,72000,4150,1611517090
job91683,4000000,1,0,72000,4412,1611517090
job91684,4000000,1,0,72000,4412,1611517090
job91685,4000000,1,0,72000,58158,1611517090
job91686,4000000,1,0,72000,4652,1611517090
job91687,4000000,1,0,72000,4652,1611517090
job91688,4000000,1,0,72000,4652,1611517090
job91689,4000000,1,0,72000,4652,1611517090
job91690,4000000,1,0,72000,4585,1611517090
job91691,4000000,1,0,72000,4585,1611517090
job91692,4000000,1,0,72000,4585,1611517090
job91693,4000000,1,0,72000,4329,1611517090
job91694,4000000,1,0,72000,4329,1611517090
job91695,4000000,1,0,72000,4329,1611517090
job91696,4000000,1,0,72000,4157,1611517090
job91697,4000000,1,0,72000,4492,1611517090
job91698,4000000,1,0,72000,4492,1611517090
job91699,4000000,1,0,72000,4492,1611517090
job91700,4000000,1,0,72000,4196,1611517090
job91701,4000000,1,0,72000,4196,1611517090
job91702,4000000,1,0,72000,4354,1611517090
job91703,4000000,1,0,72000,4154,1611517090
job91704,4000000,1,0,72000,42038,1611517090
job91705,4000000,1,0,72000,28056,1611517090
job91706,4000000,1,0,72000,60737,1611517090
job91707,4000000,1,0,72000,35887,1611517090
job91708,4000000,1,0,72000,4245,1611517090
job91709,4000000,1,0,72000,16330,1611517090
job91710,4000000,1,0,72000,66517,1611517090
job91711,4000000,1,0,72000,4228,1611517090
job91712,4000000,1,0,72000,4228,1611517090
job91713,4000000,1,0,72000,9605,1611517090
job91714,4000000,1,0,72000,4407,1611517090
job91715,4000000,1,0,72000,4406,1611517090
job91716,4000000,1,0,72000,22480,1611517090
job91717,4000000,1,0,72000,5846,1611517090
job91718,4000000,1,0,72000,24477,1611517090
job91719,4000000,1,0,72000,29660,1611517090
job91720,4000000,1,0,72000,6244,1611517090
job91721,4000000,1,0,72000,6244,1611517090
job91722,4000000,1,0,72000,6244,1611517090
job91723,4000000,1,0,72000,6244,1611517090
job91724,4000000,1,0,72000,6244,1611517090
job91725,4000000,1,0,72000,3930,1611517090
job91726,4000000,1,0,72000,58988,1611517090
job91727,4000000,1,0,72000,4363,1611517090
job91728,4000000,1,0,72000,49021,1611517090
job91729,4000000,1,0,72000,57295,1611517090
job91730,4000000,1,0,72000,5885,1611517090
job91731,4000000,1,0,72000,5885,1611517090
job91732,4000000,1,0,72000,6233,1611517090
job91733,4000000,1,0,72000,6233,1611517090
job91734,4000000,1,0,72000,6233,1611517090
job91735,4000000,1,0,72000,6233,1611517090
job91736,4000000,1,0,72000,14310,1611517090
job91737,4000000,1,0,72000,6234,1611517090
job91738,4000000,1,0,72000,60636,1611517090
job91739,4000000,1,0,72000,54543,1611517090
job91740,4000000,1,0,72000,29458,1611517090
job91741,4000000,1,0,72000,6007,1611517090
job91742,4000000,1,0,72000,3914,1611517090
job91743,4000000,1,0,72000,6333,1611517090
job91744,4000000,1,0,72000,6333,1611517090
job91745,4000000,1,0,72000,6332,1611517090
job91746,4000000,1,0,72000,6333,1611517090
job91747,4000000,1,0,72000,6333,1611517090
job91748,4000000,1,0,72000,6333,1611517090
job91749,4000000,1,0,72000,5709,1611517090
job91750,4000000,1,0,72000,55683,1611517090
job91751,4000000,1,0,72000,5708,1611517090
job91752,4000000,1,0,72000,5708,1611517090
job91753,4000000,1,0,72000,5708,1611517090
job91754,4000000,1,0,72000,6203,1611517090
job91755,4000000,1,0,72000,6203,1611517090
job91756,4000000,1,0,72000,6203,1611517090
job91757,4000000,1,0,72000,44985,1611517090
job91758,4000000,1,0,72000,6203,1611517090
job91759,4000000,1,0,72000,6203,1611517090
job91760,4000000,1,0,72000,70983,1611517090
job91761,4000000,1,0,72000,5780,1611517090
job91762,4000000,1,0,72000,3824,1611517090
job91763,4000000,1,0,72000,28402,1611517090
job91764,4000000,1,0,72000,6029,1611517090
job91765,4000000,1,0,72000,6035,1611517090
job91766,4000000,1,0,72000,6029,1611517090
job91767,4000000,1,0,72000,6033,1611517090
job91768,4000000,1,0,72000,6035,1611517090
job91769,4000000,1,0,72000,6053,1611517090
job91770,4000000,1,0,72000,6053,1611517090
job91771,4000000,1,0,72000,6053,1611517090
job91772,4000000,1,0,72000,6053,1611517090
job91773,4000000,1,0,72000,58700,1611517090
job91774,4000000,1,0,72000,6053,1611517090
job91775,4000000,1,0,72000,4626,1611517090
job91776,4000000,1,0,72000,28066,1611517090
job91777,4000000,1,0,72000,5804,1611517090
job91778,4000000,1,0,72000,5805,1611517090
job91779,4000000,1,0,72000,5805,1611517090
job91780,4000000,1,0,72000,3851,1611517090
job91781,4000000,1,0,72000,60300,1611517090
job91782,4000000,1,0,72000,5392,1611517090
job91783,4000000,1,0,72000,6202,1611517090
job91784,4000000,1,0,72000,6201,1611517090
job91785,4000000,1,0,72000,6202,1611517090
job91786,4000000,1,0,72000,6202,1611517090
job91787,4000000,1,0,72000,6202,1611517090
job91788,4000000,1,0,72000,59354,1611517090
job91789,4000000,1,0,72000,58824,1611517090
job91790,4000000,1,0,72000,4297,1611517090
job91791,4000000,1,0,72000,6311,1611517090
job91792,4000000,1,0,72000,6312,1611517090
job91793,4000000,1,0,72000,6312,1611517090
job91794,4000000,1,0,72000,6312,1611517090
job91795,4000000,1,0,72000,6312,1611517090
job91796,4000000,1,0,72000,6312,1611517090
job91797,4000000,1,0,72000,4234,1611517090
job91798,4000000,1,0,72000,4650,1611517090
